
Time (milliseconds),Altitude (meters),Flight Stage (0-4),Filtered Altitude,Second Derivative,
2571.00,35.31,2.00,35.60,-0.00,
2618.00,35.21,2.00,35.56,-0.00,
2665.00,35.46,2.00,35.54,0.00,
2718.00,35.46,2.00,35.46,0.00,
2765.00,35.63,2.00,35.41,-0.00,
2812.00,35.27,2.00,35.40,0.00,
2858.00,35.27,2.00,35.42,-0.00,
2905.00,35.81,2.00,35.49,0.00,
2952.00,35.95,2.00,35.59,0.00,
3002.00,35.95,2.00,35.65,-0.00,
3049.00,36.09,2.00,35.82,-0.00,
3096.00,36.02,2.00,35.97,0.00,
3143.00,36.02,2.00,36.01,-0.00,
3189.00,36.16,2.00,36.05,0.00,
3236.00,36.24,2.00,36.11,0.00,
3283.00,36.24,2.00,36.14,-0.00,
3330.00,35.95,2.00,36.12,-0.00,
3376.00,35.80,2.00,36.08,-0.00,
3423.00,35.80,2.00,36.01,0.00,
3471.00,36.16,2.00,35.99,0.00,
3518.00,36.13,2.00,35.97,0.00,
3564.00,36.13,2.00,36.00,-0.00,
3611.00,35.84,2.00,36.01,0.00,
3658.00,36.02,2.00,36.05,-0.00,
3705.00,36.02,2.00,36.03,0.00,
3754.00,35.80,2.00,35.96,-0.00,
3801.00,35.55,2.00,35.85,-0.00,
3848.00,35.58,2.00,35.80,-0.00,
3895.00,35.58,2.00,35.71,0.00,
3942.00,35.66,2.00,35.64,-0.00,
3989.00,35.26,2.00,35.53,0.00,
4036.00,35.26,2.00,35.47,-0.00,
4083.00,35.48,2.00,35.45,0.00,
4135.00,35.48,2.00,35.43,0.00,
4182.00,35.48,2.00,35.39,-0.00,
4229.00,35.87,2.00,35.51,0.00,
4276.00,35.66,2.00,35.59,0.00,
4323.00,35.66,2.00,35.63,-0.00,
4370.00,35.27,2.00,35.59,0.00,
4417.00,35.33,2.00,35.56,-0.00,
4464.00,35.33,2.00,35.45,0.00,
4513.00,35.30,2.00,35.38,-0.00,
4560.00,35.16,2.00,35.28,-0.00,
4607.00,35.16,2.00,35.26,-0.00,
4654.00,35.30,2.00,35.25,0.00,
4700.00,35.38,2.00,35.26,0.00,
4747.00,34.94,2.00,35.19,-0.00,
4795.00,35.11,2.00,35.18,-0.00,
4842.00,35.80,2.00,35.31,0.00,
4889.00,35.58,2.00,35.36,0.00,
4935.00,35.58,2.00,35.41,-0.00,
4982.00,35.84,2.00,35.59,0.00,
5029.00,35.66,2.00,35.69,0.00,
5076.00,35.66,2.00,35.67,-0.00,
5123.00,35.40,2.00,35.63,0.00,
5169.00,35.37,2.00,35.59,-0.00,
5220.00,35.37,2.00,35.49,0.00,
5266.00,35.30,2.00,35.42,0.00,
5313.00,35.19,2.00,35.33,-0.00,
5360.00,35.19,2.00,35.28,-0.00,
5406.00,34.61,2.00,35.13,0.00,
5453.00,34.58,2.00,34.97,-0.00,
5500.00,34.58,2.00,34.83,0.00,
5552.00,34.51,2.00,34.70,0.00,
5598.00,34.66,2.00,34.59,-0.00,
5646.00,34.66,2.00,34.60,0.00,
5692.00,34.40,2.00,34.56,-0.00,
5739.00,34.41,2.00,34.53,-0.00,
5786.00,34.41,2.00,34.51,0.00,
5832.00,34.55,2.00,34.49,-0.00,
5879.00,34.48,2.00,34.45,0.00,
5926.00,34.48,2.00,34.47,-0.00,
5975.00,34.26,2.00,34.44,0.00,
6022.00,34.70,2.00,34.50,-0.00,
6069.00,34.30,2.00,34.45,0.00,
6116.00,34.30,2.00,34.41,-0.00,
6163.00,34.70,2.00,34.46,0.00,
6210.00,34.41,2.00,34.49,0.00,
6256.00,34.41,2.00,34.43,-0.00,
6303.00,34.41,2.00,34.45,0.00,
6349.00,34.31,2.00,34.45,0.00,
6396.00,34.31,2.00,34.37,-0.00,
6443.00,34.17,2.00,34.32,0.00,
6489.00,34.39,2.00,34.32,-0.00,
6536.00,34.39,2.00,34.31,0.00,
6583.00,34.82,2.00,34.41,-0.00,
6631.00,34.75,2.00,34.50,0.00,
6677.00,34.75,2.00,34.62,-0.00,
6727.00,34.92,2.00,34.72,0.00,
6773.00,34.86,2.00,34.82,0.00,
6820.00,34.86,2.00,34.83,-0.00,
6867.00,35.43,2.00,34.96,0.00,
6914.00,34.42,2.00,34.90,0.00,
6965.00,34.42,2.00,34.80,-0.00,
7014.00,34.75,2.00,34.78,0.00,
7061.00,34.53,2.00,34.71,0.00,
7108.00,34.53,2.00,34.53,-0.00,
7154.00,34.57,2.00,34.56,0.00,
7201.00,34.57,2.00,34.59,0.00,
7248.00,34.50,2.00,34.54,-0.00,
7295.00,34.50,2.00,34.53,-0.00,
7341.00,34.28,2.00,34.48,0.00,
7388.00,34.28,2.00,34.42,-0.00,
7435.00,34.28,2.00,34.37,0.00,
7486.00,34.39,2.00,34.34,0.00,
7532.00,34.46,2.00,34.34,0.00,
7579.00,34.46,2.00,34.37,-0.00,
7626.00,34.46,2.00,34.41,-0.00,
7673.00,34.21,2.00,34.40,0.00,
7719.00,34.21,2.00,34.36,-0.00,
7766.00,34.43,2.00,34.35,0.00,
7813.00,34.65,2.00,34.39,0.00,
7860.00,34.65,2.00,34.43,-0.00,
7908.00,34.07,2.00,34.40,-0.00,
7954.00,34.14,2.00,34.39,-0.00,
8001.00,34.14,2.00,34.33,0.00,
8048.00,34.32,2.00,34.26,-0.00,
8095.00,34.22,2.00,34.18,0.00,
8142.00,34.22,2.00,34.21,-0.00,
8191.00,34.07,2.00,34.20,0.00,
8238.00,33.93,2.00,34.15,-0.00,
8285.00,33.93,2.00,34.07,0.00,
8331.00,34.44,2.00,34.12,0.00,
8383.00,34.69,2.00,34.21,0.00,
8432.00,34.50,2.00,34.30,-0.00,
8478.00,34.50,2.00,34.41,-0.00,
8525.00,34.65,2.00,34.56,0.00,
8572.00,35.01,2.00,34.67,0.00,
8619.00,35.01,2.00,34.74,0.00,
8665.00,35.12,2.00,34.86,-0.00,
8712.00,34.83,2.00,34.93,0.00,
8759.00,34.83,2.00,34.96,-0.00,
8807.00,35.01,2.00,34.96,0.00,
8854.00,34.98,2.00,34.95,0.00,
8900.00,34.98,2.00,34.93,-0.00,
8950.00,34.80,2.00,34.92,0.00,
8996.00,34.69,2.00,34.89,-0.00,
9043.00,34.69,2.00,34.83,0.00,
9090.00,34.36,2.00,34.70,0.00,
9137.00,34.44,2.00,34.59,-0.00,
9184.00,34.44,2.00,34.52,0.00,
9231.00,34.14,2.00,34.41,-0.00,
9278.00,34.62,2.00,34.40,-0.00,
9325.00,34.62,2.00,34.45,0.00,
9372.00,34.47,2.00,34.46,-0.00,
9418.00,34.18,2.00,34.41,-0.00,
9465.00,34.18,2.00,34.42,-0.00,
9512.00,34.47,2.00,34.39,0.00,
9559.00,34.58,2.00,34.38,0.00,
9606.00,34.58,2.00,34.40,-0.00,
9652.00,34.26,2.00,34.42,-0.00,
9703.00,34.26,2.00,34.43,-0.00,
9750.00,34.08,2.00,34.35,0.00,
9801.00,34.08,2.00,34.25,-0.00,
9849.00,33.97,2.00,34.13,0.00,
9896.00,34.33,2.00,34.14,-0.00,
9943.00,34.33,2.00,34.16,0.00,
9989.00,34.19,2.00,34.18,-0.00,
10036.00,34.01,2.00,34.17,-0.00,
10084.00,34.01,2.00,34.17,-0.00,
10131.00,34.48,2.00,34.20,0.00,
10178.00,34.41,2.00,34.22,0.00,
10225.00,34.41,2.00,34.26,-0.00,
10272.00,34.33,2.00,34.33,0.00,
10318.00,34.55,2.00,34.44,-0.00,
10365.00,34.55,2.00,34.45,0.00,
10415.00,34.80,2.00,34.53,-0.00,
10462.00,34.73,2.00,34.59,0.00,
10510.00,34.73,2.00,34.67,-0.00,
10557.00,34.66,2.00,34.69,0.00,
10603.00,34.55,2.00,34.69,-0.00,
10650.00,34.77,2.00,34.69,-0.00,
10697.00,34.84,2.00,34.71,0.00,
10744.00,34.29,2.00,34.62,-0.00,
10791.00,34.51,2.00,34.59,-0.00,
10838.00,34.51,2.00,34.58,0.00,
10885.00,34.29,2.00,34.49,-0.00,
10932.00,34.44,2.00,34.41,-0.00,
10980.00,34.44,2.00,34.44,0.00,
11026.00,34.29,2.00,34.39,-0.00,
11073.00,34.22,2.00,34.34,-0.00,
11120.00,34.22,2.00,34.32,0.00,
11170.00,34.47,2.00,34.33,0.00,
11221.00,34.00,2.00,34.24,0.00,
11269.00,34.00,2.00,34.19,-0.00,
11316.00,34.40,2.00,34.22,0.00,
11363.00,34.44,2.00,34.27,0.00,
11410.00,34.44,2.00,34.26,-0.00,
11457.00,34.19,2.00,34.30,-0.00,
11503.00,33.94,2.00,34.28,-0.00,
11550.00,33.94,2.00,34.19,0.00,
11597.00,34.55,2.00,34.21,0.00,
11644.00,33.87,2.00,34.10,0.00,
11690.00,33.87,2.00,34.03,-0.00,
11737.00,33.76,2.00,34.00,0.00,
11784.00,32.56,2.00,33.72,-0.00,
11831.00,32.67,2.00,33.35,-0.00,
11881.00,32.74,2.00,33.12,0.00,
11928.00,32.78,2.00,32.90,-0.00,
11975.00,33.36,2.00,32.82,-0.00,
12022.00,33.36,2.00,32.98,0.00,
12068.00,33.73,2.00,33.20,-0.00,
12115.00,33.18,2.00,33.28,0.00,
12162.00,33.18,2.00,33.36,-0.00,
12208.00,32.93,2.00,33.28,0.00,
12255.00,33.11,2.00,33.23,-0.00,
12303.00,33.11,2.00,33.10,0.00,
12350.00,33.37,2.00,33.14,-0.00,
12396.00,34.31,2.00,33.37,0.00,
12443.00,34.31,2.00,33.64,0.00,
12490.00,33.51,2.00,33.72,-0.00,
12537.00,33.88,2.00,33.88,-0.00,
12586.00,33.88,2.00,33.98,0.00,
12633.00,34.24,2.00,33.96,-0.00,
12687.00,33.44,2.00,33.79,0.00,
12734.00,33.44,2.00,33.78,-0.00,
12780.00,33.91,2.00,33.78,0.00,
12827.00,33.34,2.00,33.68,0.00,
12874.00,33.12,2.00,33.45,-0.00,
12921.00,33.12,2.00,33.39,0.00,
12968.00,33.01,2.00,33.30,0.00,
13015.00,31.88,2.00,32.89,-0.00,
13062.00,31.88,2.00,32.60,-0.00,
13109.00,31.85,2.00,32.35,0.00,
13156.00,31.01,2.00,31.93,-0.00,
13203.00,31.01,2.00,31.53,-0.00,
13250.00,29.89,1.00,31.13,0.00,
13297.00,29.27,1.00,30.60,-0.00,
13347.00,29.27,1.00,30.09,0.00,
13393.00,28.10,1.00,29.51,0.00,
13440.00,27.92,1.00,28.89,-0.00,
13487.00,27.92,1.00,28.50,0.00,
13534.00,30.86,2.00,28.82,0.00,
13582.00,30.93,2.00,29.15,0.00,
13629.00,30.93,2.00,29.71,-0.00,
13676.00,32.06,2.00,30.54,-0.00,
13722.00,33.33,2.00,31.62,0.00,
13769.00,33.33,2.00,32.12,0.00,
13816.00,33.80,2.00,32.69,-0.00,
13863.00,33.94,2.00,33.29,0.00,
13910.00,33.94,2.00,33.67,-0.00,
13957.00,34.67,2.00,33.94,-0.00,
14004.00,35.03,2.00,34.28,0.00,
14054.00,34.81,2.00,34.48,-0.00,
14107.00,34.98,2.00,34.69,-0.00,
14154.00,34.98,2.00,34.90,0.00,
14200.00,35.64,2.00,35.09,-0.00,
14247.00,35.64,2.00,35.21,0.00,
14294.00,36.04,2.00,35.46,-0.00,
14341.00,36.40,2.00,35.74,0.00,
14388.00,36.40,2.00,36.02,-0.00,
14436.00,35.74,2.00,36.04,-0.00,
14483.00,35.45,2.00,36.01,-0.00,
14529.00,35.45,2.00,35.89,0.00,
14576.00,35.82,2.00,35.77,0.00,
14623.00,35.89,2.00,35.67,0.00,
14670.00,35.89,2.00,35.70,-0.00,
14717.00,35.48,2.00,35.71,-0.00,
14766.00,34.61,2.00,35.54,-0.00,
14813.00,34.61,2.00,35.30,-0.00,
14860.00,35.77,2.00,35.27,0.00,
14908.00,34.28,2.00,34.95,0.00,
14955.00,34.28,2.00,34.71,-0.00,
15002.00,35.44,2.00,34.88,0.00,
15048.00,34.90,2.00,34.94,0.00,
15095.00,34.68,2.00,34.72,-0.00,
15142.00,34.76,2.00,34.81,0.00,
15189.00,35.08,2.00,34.97,0.00,
15236.00,35.33,2.00,34.95,0.00,
15283.00,35.33,2.00,35.04,-0.00,
15329.00,35.48,2.00,35.20,-0.00,
15377.00,34.36,2.00,35.12,0.00,
15424.00,34.36,2.00,34.97,-0.00,
15474.00,35.52,2.00,35.01,0.00,
15526.00,35.19,2.00,34.98,0.00,
15573.00,35.19,2.00,34.92,-0.00,
15620.00,35.15,2.00,35.08,0.00,
15667.00,35.23,2.00,35.26,-0.00,
15715.00,35.23,2.00,35.20,0.00,
15762.00,34.90,2.00,35.14,-0.00,
15809.00,35.55,2.00,35.21,-0.00,
15855.00,35.55,2.00,35.29,0.00,
15902.00,34.64,2.00,35.17,-0.00,
15949.00,35.01,2.00,35.13,-0.00,
15996.00,35.01,2.00,35.15,0.00,
16043.00,34.82,2.00,35.01,-0.00,
16090.00,36.38,2.00,35.17,-0.00,
16137.00,35.73,2.00,35.39,0.00,
16183.00,35.87,2.00,35.56,-0.00,
16234.00,36.12,2.00,35.78,0.00,
16281.00,36.77,2.00,36.17,0.00,
16328.00,36.77,2.00,36.25,0.00,
16375.00,36.41,2.00,36.39,-0.00,
16422.00,37.13,2.00,36.64,-0.00,
16468.00,37.13,2.00,36.84,0.00,
16515.00,36.51,2.00,36.79,-0.00,
16562.00,36.69,2.00,36.78,-0.00,
16609.00,36.69,2.00,36.83,0.00,
16657.00,36.76,2.00,36.76,-0.00,
16704.00,36.80,2.00,36.69,0.00,
16751.00,36.80,2.00,36.75,-0.00,
16798.00,36.98,2.00,36.81,-0.00,
16844.00,37.13,2.00,36.89,0.00,
16891.00,37.13,2.00,36.97,-0.00,
16946.00,37.34,2.00,37.07,-0.00,
16993.00,37.42,2.00,37.20,0.00,
17041.00,37.60,2.00,37.32,-0.00,
17088.00,37.60,2.00,37.42,0.00,
17134.00,37.27,2.00,37.45,-0.00,
17181.00,37.20,2.00,37.42,-0.00,
17228.00,37.20,2.00,37.38,0.00,
17275.00,37.24,2.00,37.30,0.00,
17321.00,37.10,2.00,37.20,0.00,
17368.00,37.10,2.00,37.17,-0.00,
17415.00,36.81,2.00,37.09,0.00,
17461.00,36.92,2.00,37.03,-0.00,
17509.00,36.92,2.00,36.97,0.00,
17556.00,37.35,2.00,37.02,-0.00,
17603.00,37.28,2.00,37.05,0.00,
17652.00,37.28,2.00,37.15,-0.00,
17699.00,37.50,2.00,37.26,0.00,
17746.00,37.82,2.00,37.45,0.00,
17792.00,37.82,2.00,37.54,0.00,
17839.00,37.64,2.00,37.61,-0.00,
17886.00,37.67,2.00,37.69,-0.00,
17934.00,37.67,2.00,37.73,0.00,
17980.00,38.65,2.00,37.89,-0.00,
18027.00,38.32,2.00,37.99,0.00,
18074.00,38.32,2.00,38.13,-0.00,
18121.00,38.07,2.00,38.21,0.00,
18167.00,38.14,2.00,38.30,-0.00,
18214.00,38.14,2.00,38.20,0.00,
18261.00,38.47,2.00,38.23,-0.00,
18307.00,37.60,2.00,38.08,0.00,
18354.00,37.60,2.00,37.99,-0.00,
18410.00,37.89,2.00,37.94,0.00,
18457.00,37.30,2.00,37.77,0.00,
18504.00,37.63,2.00,37.60,-0.00,
18551.00,37.63,2.00,37.61,0.00,
18598.00,37.92,2.00,37.68,-0.00,
18645.00,37.01,2.00,37.50,0.00,
18692.00,37.01,2.00,37.44,-0.00,
18738.00,37.30,2.00,37.38,0.00,
18785.00,37.01,2.00,37.25,0.00,
18833.00,37.01,2.00,37.07,-0.00,
18880.00,37.38,2.00,37.14,0.00,
18927.00,37.09,2.00,37.16,0.00,
18974.00,37.09,2.00,37.12,-0.00,
19021.00,36.36,2.00,36.99,0.00,
19067.00,36.29,2.00,36.84,-0.00,
19117.00,36.29,2.00,36.62,0.00,
19164.00,36.25,2.00,36.46,0.00,
19211.00,36.22,2.00,36.28,-0.00,
19258.00,36.22,2.00,36.25,0.00,
19305.00,36.76,2.00,36.35,0.00,
19352.00,36.58,2.00,36.41,0.00,
19399.00,36.58,2.00,36.47,-0.00,
19446.00,37.09,2.00,36.65,0.00,
19493.00,37.13,2.00,36.83,0.00,
19540.00,37.13,2.00,36.90,-0.00,
19586.00,37.48,2.00,37.08,-0.00,
19633.00,37.85,2.00,37.33,0.00,
19680.00,37.52,2.00,37.42,0.00,
19728.00,37.52,2.00,37.50,-0.00,
19775.00,37.96,2.00,37.67,0.00,
19830.00,38.21,2.00,37.81,0.00,
19877.00,38.21,2.00,37.88,-0.00,
19924.00,38.28,2.00,38.04,-0.00,
19971.00,38.07,2.00,38.14,0.00,
20018.00,38.07,2.00,38.17,-0.00,
20065.00,37.77,2.00,38.08,0.00,
20112.00,37.81,2.00,38.00,-0.00,
20159.00,37.81,2.00,37.90,0.00,
20206.00,38.17,2.00,37.92,-0.00,
20253.00,37.88,2.00,37.89,0.00,
20300.00,37.88,2.00,37.91,-0.00,
20347.00,37.77,2.00,37.90,0.00,
20393.00,37.56,2.00,37.85,-0.00,
20440.00,37.56,2.00,37.73,-0.00,
20487.00,38.43,2.00,37.84,0.00,
20538.00,38.14,2.00,37.89,0.00,
20585.00,38.43,2.00,38.02,-0.00,
20631.00,38.43,2.00,38.20,0.00,
20678.00,38.21,2.00,38.33,-0.00,
20725.00,37.38,2.00,38.12,-0.00,
20772.00,37.38,2.00,37.97,-0.00,
20819.00,37.45,2.00,37.77,0.00,
20866.00,37.60,2.00,37.60,0.00,
20913.00,37.60,2.00,37.48,0.00,
20959.00,37.85,2.00,37.58,-0.00,
21007.00,37.71,2.00,37.64,0.00,
21054.00,37.71,2.00,37.69,-0.00,
21101.00,36.98,2.00,37.57,0.00,
21148.00,38.47,2.00,37.74,-0.00,
21195.00,38.47,2.00,37.87,0.00,
21247.00,37.05,2.00,37.74,-0.00,
21297.00,37.67,2.00,37.73,-0.00,
21344.00,37.67,2.00,37.87,0.00,
21391.00,37.71,2.00,37.72,-0.00,
21438.00,38.03,2.00,37.63,0.00,
21485.00,37.27,2.00,37.67,0.00,
21532.00,37.45,2.00,37.63,-0.00,
21579.00,37.96,2.00,37.68,0.00,
21626.00,37.88,2.00,37.72,0.00,
21673.00,37.88,2.00,37.69,-0.00,
21719.00,37.66,2.00,37.77,0.00,
21766.00,37.62,2.00,37.80,-0.00,
21813.00,37.62,2.00,37.73,0.00,
21861.00,37.87,2.00,37.73,0.00,
21908.00,38.06,2.00,37.77,0.00,
21955.00,38.06,2.00,37.85,-0.00,
22004.00,37.47,2.00,37.82,-0.00,
22051.00,38.13,2.00,37.92,-0.00,
22098.00,38.13,2.00,37.97,0.00,
22145.00,37.18,2.00,37.79,-0.00,
22192.00,37.47,2.00,37.67,-0.00,
22239.00,37.47,2.00,37.67,0.00,
22287.00,36.23,2.00,37.30,-0.00,
22333.00,37.18,2.00,37.11,-0.00,
22380.00,37.18,2.00,37.11,0.00,
22427.00,37.25,2.00,37.06,-0.00,
22474.00,37.14,2.00,37.00,0.00,
22521.00,37.14,2.00,37.18,-0.00,
22568.00,37.35,2.00,37.21,0.00,
22615.00,36.05,2.00,36.98,0.00,
22668.00,36.85,2.00,36.90,-0.00,
22718.00,36.85,2.00,36.85,0.00,
22765.00,37.50,2.00,36.92,-0.00,
22811.00,36.96,2.00,36.84,0.00,
22858.00,36.96,2.00,37.02,-0.00,
22905.00,37.50,2.00,37.15,0.00,
22952.00,37.14,2.00,37.21,0.00,
22998.00,37.14,2.00,37.14,-0.00,
23045.00,37.29,2.00,37.21,0.00,
23092.00,36.67,2.00,37.15,0.00,
23140.00,36.67,2.00,36.98,-0.00,
23186.00,36.78,2.00,36.91,0.00,
23233.00,36.96,2.00,36.87,0.00,
23280.00,36.96,2.00,36.81,0.00,
23326.00,37.39,2.00,36.95,-0.00,
23373.00,37.68,2.00,37.15,0.00,
23420.00,37.68,2.00,37.33,-0.00,
23469.00,37.50,2.00,37.44,-0.00,
23516.00,37.75,2.00,37.60,-0.00,
23563.00,37.75,2.00,37.67,0.00,
23611.00,37.93,2.00,37.72,-0.00,
23657.00,37.68,2.00,37.72,0.00,
23704.00,37.68,2.00,37.76,-0.00,
23751.00,37.71,2.00,37.75,0.00,
23798.00,37.79,2.00,37.76,0.00,
23844.00,37.79,2.00,37.73,0.00,
23891.00,37.42,2.00,37.68,-0.00,
23938.00,36.95,2.00,37.53,-0.00,
23985.00,37.71,2.00,37.53,-0.00,
24031.00,37.82,2.00,37.54,0.00,
24083.00,37.53,2.00,37.49,-0.00,
24132.00,37.16,2.00,37.44,-0.00,
24181.00,37.16,2.00,37.48,-0.00,
24228.00,37.16,2.00,37.37,0.00,
24275.00,37.20,2.00,37.25,0.00,
24322.00,37.20,2.00,37.18,0.00,
24369.00,37.71,2.00,37.29,-0.00,
24415.00,37.24,2.00,37.30,0.00,
24463.00,37.24,2.00,37.32,-0.00,
24510.00,36.95,2.00,37.27,0.00,
24557.00,36.26,2.00,37.08,-0.00,
24604.00,36.26,2.00,36.79,-0.00,
24651.00,36.98,2.00,36.74,0.00,
24698.00,37.06,2.00,36.70,0.00,
24744.00,37.06,2.00,36.72,-0.00,
24791.00,36.77,2.00,36.82,-0.00,
24838.00,36.30,2.00,36.83,-0.00,
24889.00,36.48,2.00,36.73,-0.00,
24936.00,36.48,2.00,36.61,0.00,
24983.00,36.99,2.00,36.60,-0.00,
25029.00,37.38,2.00,36.72,0.00,
25076.00,37.38,2.00,36.94,-0.00,
25123.00,37.13,2.00,37.07,-0.00,
25170.00,36.87,2.00,37.15,-0.00,
25217.00,36.87,2.00,37.13,-0.00,
25264.00,37.19,2.00,37.09,0.00,
25311.00,36.61,2.00,36.93,0.00,
25359.00,36.61,2.00,36.83,-0.00,
25405.00,37.48,2.00,36.95,0.00,
25452.00,37.41,2.00,37.06,0.00,
25503.00,37.41,2.00,37.10,-0.00,
25552.00,38.03,2.00,37.39,0.00,
25601.00,37.70,2.00,37.60,0.00,
25648.00,37.70,2.00,37.65,-0.00,
25695.00,37.80,2.00,37.73,0.00,
25743.00,37.59,2.00,37.76,0.00,
25790.00,37.59,2.00,37.68,-0.00,
25837.00,37.70,2.00,37.68,0.00,
25883.00,37.33,2.00,37.60,0.00,
25930.00,37.33,2.00,37.51,-0.00,
25977.00,37.33,2.00,37.46,0.00,
26024.00,37.55,2.00,37.45,0.00,
26071.00,36.60,2.00,37.23,0.00,
26118.00,36.60,2.00,37.08,-0.00,
26164.00,36.90,2.00,37.00,0.00,
26212.00,36.82,2.00,36.89,0.00,
26259.00,36.82,2.00,36.75,-0.00,
26306.00,37.18,2.00,36.86,0.00,
26355.00,36.64,2.00,36.87,0.00,
26402.00,36.64,2.00,36.82,-0.00,
26449.00,36.93,2.00,36.84,0.00,
26496.00,36.53,2.00,36.78,0.00,
26543.00,36.53,2.00,36.65,-0.00,
26590.00,37.29,2.00,36.78,0.00,
26638.00,36.79,2.00,36.82,0.00,
26684.00,36.79,2.00,36.79,-0.00,
26731.00,35.99,2.00,36.68,0.00,
26778.00,37.01,2.00,36.77,-0.00,
26825.00,37.01,2.00,36.72,0.00,
26872.00,36.68,2.00,36.69,-0.00,
26923.00,36.64,2.00,36.66,-0.00,
26971.00,37.00,2.00,36.87,0.00,
27018.00,37.00,2.00,36.86,0.00,
27068.00,37.58,2.00,36.98,-0.00,
27115.00,37.11,2.00,37.06,0.00,
27162.00,37.11,2.00,37.16,-0.00,
27209.00,37.72,2.00,37.30,0.00,
27256.00,38.05,2.00,37.51,0.00,
27303.00,38.05,2.00,37.61,-0.00,
27350.00,37.87,2.00,37.76,-0.00,
27397.00,38.30,2.00,38.00,-0.00,
27443.00,38.30,2.00,38.11,0.00,
27491.00,38.23,2.00,38.15,-0.00,
27538.00,38.23,2.00,38.19,-0.00,
27585.00,38.23,2.00,38.26,0.00,
27632.00,38.34,2.00,38.27,0.00,
27679.00,37.87,2.00,38.18,0.00,
27726.00,37.87,2.00,38.11,-0.00,
27775.00,38.37,2.00,38.13,0.00,
27822.00,37.79,2.00,38.05,0.00,
27869.00,37.79,2.00,37.94,-0.00,
27916.00,37.46,2.00,37.86,0.00,
27964.00,37.43,2.00,37.77,-0.00,
28011.00,37.43,2.00,37.58,0.00,
28057.00,37.90,2.00,37.60,0.00,
28104.00,37.79,2.00,37.60,0.00,
28151.00,37.79,2.00,37.67,-0.00,
28198.00,37.18,2.00,37.62,0.00,
28245.00,37.76,2.00,37.68,-0.00,
28292.00,37.94,2.00,37.69,0.00,
28343.00,37.94,2.00,37.72,-0.00,
28392.00,37.90,2.00,37.74,-0.00,
28439.00,37.80,2.00,37.87,-0.00,
28486.00,37.80,2.00,37.88,-0.00,
28535.00,38.41,2.00,37.97,0.00,
28582.00,38.20,2.00,38.02,0.00,
28629.00,38.20,2.00,38.08,-0.00,
28675.00,38.27,2.00,38.18,0.00,
28722.00,37.80,2.00,38.18,0.00,
28769.00,37.80,2.00,38.05,-0.00,
28817.00,38.05,2.00,38.02,0.00,
28863.00,37.79,2.00,37.94,0.00,
28910.00,37.79,2.00,37.85,-0.00,
28957.00,38.30,2.00,37.95,0.00,
29003.00,39.21,2.00,38.23,0.00,
29050.00,39.21,2.00,38.46,0.00,
29097.00,39.03,2.00,38.71,-0.00,
29144.00,38.88,2.00,38.93,-0.00,
29190.00,38.88,2.00,39.04,0.00,
29241.00,38.95,2.00,38.99,0.00,
29288.00,39.24,2.00,39.00,0.00,
29334.00,39.03,2.00,39.00,0.00,
29381.00,39.03,2.00,39.03,-0.00,
