Time (milliseconds),Altitude (meters),Flight Stage (0-4),Filtered Altitude,Second Derivative
3754,35.8,2,35.96,0
3801,35.55,2,35.85,0
3848,35.58,2,35.8,0
3895,35.58,2,35.71,0
3942,35.66,2,35.64,0
3989,35.26,2,35.53,0
4036,35.26,2,35.47,0
4083,35.48,2,35.45,0
4135,35.48,2,35.43,0
4182,35.48,2,35.39,0
4229,35.87,2,35.51,0
4276,35.66,2,35.59,0
4323,35.66,2,35.63,0
4370,35.27,2,35.59,0
4417,35.33,2,35.56,0
4464,35.33,2,35.45,0
4513,35.3,2,35.38,0
4560,35.16,2,35.28,0
4607,35.16,2,35.26,0
4654,35.3,2,35.25,0
4700,35.38,2,35.26,0
4747,34.94,2,35.19,0
4795,35.11,2,35.18,0
4842,35.8,2,35.31,0
4889,35.58,2,35.36,0
4935,35.58,2,35.41,0
4982,35.84,2,35.59,0
5029,35.66,2,35.69,0
5076,35.66,2,35.67,0
5123,35.4,2,35.63,0
5169,35.37,2,35.59,0
5220,35.37,2,35.49,0
5266,35.3,2,35.42,0
5313,35.19,2,35.33,0
5360,35.19,2,35.28,0
5406,34.61,2,35.13,0
5453,34.58,2,34.97,0
5500,34.58,2,34.83,0
5552,34.51,2,34.7,0
5598,34.66,2,34.59,0
5646,34.66,2,34.6,0
5692,34.4,2,34.56,0
5739,34.41,2,34.53,0
5786,34.41,2,34.51,0
5832,34.55,2,34.49,0
5879,34.48,2,34.45,0
5926,34.48,2,34.47,0
5975,34.26,2,34.44,0
6022,34.7,2,34.5,0
6069,34.3,2,34.45,0
6116,34.3,2,34.41,0
6163,34.7,2,34.46,0
6210,34.41,2,34.49,0
6256,34.41,2,34.43,0
6303,34.41,2,34.45,0
6349,34.31,2,34.45,0
6396,34.31,2,34.37,0
6443,34.17,2,34.32,0
6489,34.39,2,34.32,0
6536,34.39,2,34.31,0
6583,34.82,2,34.41,0
6631,34.75,2,34.5,0
6677,34.75,2,34.62,0
6727,34.92,2,34.72,0
6773,34.86,2,34.82,0
6820,34.86,2,34.83,0
6867,35.43,2,34.96,0
6914,34.42,2,34.9,0
6965,34.42,2,34.8,0
7014,34.75,2,34.78,0
7061,34.53,2,34.71,0
7108,34.53,2,34.53,0
7154,34.57,2,34.56,0
7201,34.57,2,34.59,0
7248,34.5,2,34.54,0
7295,34.5,2,34.53,0
7341,34.28,2,34.48,0
7388,34.28,2,34.42,0
7435,34.28,2,34.37,0
7486,34.39,2,34.34,0
7532,34.46,2,34.34,0
7579,34.46,2,34.37,0
7626,34.46,2,34.41,0
7673,34.21,2,34.4,0
7719,34.21,2,34.36,0
7766,34.43,2,34.35,0
7813,34.65,2,34.39,0
7860,34.65,2,34.43,0
7908,34.07,2,34.4,0
7954,34.14,2,34.39,0
8001,34.14,2,34.33,0
8048,34.32,2,34.26,0
8095,34.22,2,34.18,0
8142,34.22,2,34.21,0
8191,34.07,2,34.2,0
8238,33.93,2,34.15,0
8285,33.93,2,34.07,0
8331,34.44,2,34.12,0
8383,34.69,2,34.21,0
8432,34.5,2,34.3,0
8478,34.5,2,34.41,0
8525,34.65,2,34.56,0
8572,35.01,2,34.67,0
8619,35.01,2,34.74,0
8665,35.12,2,34.86,0
8712,34.83,2,34.93,0
8759,34.83,2,34.96,0
8807,35.01,2,34.96,0
8854,34.98,2,34.95,0
8900,34.98,2,34.93,0
8950,34.8,2,34.92,0
8996,34.69,2,34.89,0
9043,34.69,2,34.83,0
9090,34.36,2,34.7,0
9137,34.44,2,34.59,0
9184,34.44,2,34.52,0
9231,34.14,2,34.41,0
9278,34.62,2,34.4,0
9325,34.62,2,34.45,0
9372,34.47,2,34.46,0
9418,34.18,2,34.41,0
9465,34.18,2,34.42,0
9512,34.47,2,34.39,0
9559,34.58,2,34.38,0
9606,34.58,2,34.4,0
9652,34.26,2,34.42,0
9703,34.26,2,34.43,0
9750,34.08,2,34.35,0
9801,34.08,2,34.25,0
9849,33.97,2,34.13,0
9896,34.33,2,34.14,0
9943,34.33,2,34.16,0
9989,34.19,2,34.18,0
10036,34.01,2,34.17,0
10084,34.01,2,34.17,0
10131,34.48,2,34.2,0
10178,34.41,2,34.22,0
10225,34.41,2,34.26,0
10272,34.33,2,34.33,0
10318,34.55,2,34.44,0
10365,34.55,2,34.45,0
10415,34.8,2,34.53,0
10462,34.73,2,34.59,0
10510,34.73,2,34.67,0
10557,34.66,2,34.69,0
10603,34.55,2,34.69,0
10650,34.77,2,34.69,0
10697,34.84,2,34.71,0
10744,34.29,2,34.62,0
10791,34.51,2,34.59,0
10838,34.51,2,34.58,0
10885,34.29,2,34.49,0
10932,34.44,2,34.41,0
10980,34.44,2,34.44,0
11026,34.29,2,34.39,0
11073,34.22,2,34.34,0
11120,34.22,2,34.32,0
11170,34.47,2,34.33,0
11221,34,2,34.24,0
11269,34,2,34.19,0
11316,34.4,2,34.22,0
11363,34.44,2,34.27,0
11410,34.44,2,34.26,0
11457,34.19,2,34.3,0
11503,33.94,2,34.28,0
11550,33.94,2,34.19,0
11597,34.55,2,34.21,0
11644,33.87,2,34.1,0
11690,33.87,2,34.03,0
11737,33.76,2,34,0
11784,32.56,2,33.72,0
11831,32.67,2,33.35,0
11881,32.74,2,33.12,0
11928,32.78,2,32.9,0
11975,33.36,2,32.82,0
12022,33.36,2,32.98,0
12068,33.73,2,33.2,0
12115,33.18,2,33.28,0
12162,33.18,2,33.36,0
12208,32.93,2,33.28,0
12255,33.11,2,33.23,0
12303,33.11,2,33.1,0
12350,33.37,2,33.14,0
12396,34.31,2,33.37,0
12443,34.31,2,33.64,0
12490,33.51,2,33.72,0
12537,33.88,2,33.88,0
12586,33.88,2,33.98,0
12633,34.24,2,33.96,0
12687,33.44,2,33.79,0
12734,33.44,2,33.78,0
12780,33.91,2,33.78,0
12827,33.34,2,33.68,0
12874,33.12,2,33.45,0
12921,33.12,2,33.39,0
12968,33.01,2,33.3,0
13015,31.88,2,32.89,0
13062,31.88,2,32.6,0
13109,31.85,2,32.35,0
13156,31.01,2,31.93,0
13203,31.01,2,31.53,0
13250,29.89,1,31.13,0
13297,29.27,1,30.6,0
13347,29.27,1,30.09,0
13393,28.1,1,29.51,0
13440,27.92,1,28.89,0
13487,27.92,1,28.5,0
13534,30.86,2,28.82,0
13582,30.93,2,29.15,0
13629,30.93,2,29.71,0
13676,32.06,2,30.54,0
13722,33.33,2,31.62,0
13769,33.33,2,32.12,0
13816,33.8,2,32.69,0
13863,33.94,2,33.29,0
13910,33.94,2,33.67,0
13957,34.67,2,33.94,0
14004,35.03,2,34.28,0
14054,34.81,2,34.48,0
14107,34.98,2,34.69,0
14154,34.98,2,34.9,0
14200,35.64,2,35.09,0
14247,35.64,2,35.21,0
14294,36.04,2,35.46,0
14341,36.4,2,35.74,0
14388,36.4,2,36.02,0
14436,35.74,2,36.04,0
14483,35.45,2,36.01,0
14529,35.45,2,35.89,0
14576,35.82,2,35.77,0
14623,35.89,2,35.67,0
14670,35.89,2,35.7,0
14717,35.48,2,35.71,0
14766,34.61,2,35.54,0
14813,34.61,2,35.3,0
14860,35.77,2,35.27,0
14908,34.28,2,34.95,0
14955,34.28,2,34.71,0
15002,35.44,2,34.88,0
15048,34.9,2,34.94,0
15095,34.68,2,34.72,0
15142,34.76,2,34.81,0
15189,35.08,2,34.97,0
15236,35.33,2,34.95,0
15283,35.33,2,35.04,0
15329,35.48,2,35.2,0
15377,34.36,2,35.12,0
15424,34.36,2,34.97,0
15474,35.52,2,35.01,0
15526,35.19,2,34.98,0
15573,35.19,2,34.92,0
15620,35.15,2,35.08,0
15667,35.23,2,35.26,0
15715,35.23,2,35.2,0
15762,34.9,2,35.14,0
15809,35.55,2,35.21,0
15855,35.55,2,35.29,0
15902,34.64,2,35.17,0
15949,35.01,2,35.13,0
15996,35.01,2,35.15,0
16043,34.82,2,35.01,0
16090,36.38,2,35.17,0
16137,35.73,2,35.39,0
16183,35.87,2,35.56,0
16234,36.12,2,35.78,0
16281,36.77,2,36.17,0
16328,36.77,2,36.25,0
16375,36.41,2,36.39,0
16422,37.13,2,36.64,0
16468,37.13,2,36.84,0
16515,36.51,2,36.79,0
16562,36.69,2,36.78,0
16609,36.69,2,36.83,0
16657,36.76,2,36.76,0
16704,36.8,2,36.69,0
16751,36.8,2,36.75,0
16798,36.98,2,36.81,0
16844,37.13,2,36.89,0
16891,37.13,2,36.97,0
16946,37.34,2,37.07,0
16993,37.42,2,37.2,0
17041,37.6,2,37.32,0
17088,37.6,2,37.42,0
17134,37.27,2,37.45,0
17181,37.2,2,37.42,0
17228,37.2,2,37.38,0
17275,37.24,2,37.3,0
17321,37.1,2,37.2,0
17368,37.1,2,37.17,0
17415,36.81,2,37.09,0
17461,36.92,2,37.03,0
17509,36.92,2,36.97,0
17556,37.35,2,37.02,0
17603,37.28,2,37.05,0
17652,37.28,2,37.15,0
17699,37.5,2,37.26,0
17746,37.82,2,37.45,0
17792,37.82,2,37.54,0
17839,37.64,2,37.61,0
17886,37.67,2,37.69,0
17934,37.67,2,37.73,0
17980,38.65,2,37.89,0
18027,38.32,2,37.99,0
18074,38.32,2,38.13,0
18121,38.07,2,38.21,0
18167,38.14,2,38.3,0
18214,38.14,2,38.2,0
18261,38.47,2,38.23,0
18307,37.6,2,38.08,0
18354,37.6,2,37.99,0
18410,37.89,2,37.94,0
18457,37.3,2,37.77,0
18504,37.63,2,37.6,0
18551,37.63,2,37.61,0
18598,37.92,2,37.68,0
18645,37.01,2,37.5,0
18692,37.01,2,37.44,0
18738,37.3,2,37.38,0
18785,37.01,2,37.25,0
18833,37.01,2,37.07,0
18880,37.38,2,37.14,0
18927,37.09,2,37.16,0
18974,37.09,2,37.12,0
19021,36.36,2,36.99,0
19067,36.29,2,36.84,0
19117,36.29,2,36.62,0
19164,36.25,2,36.46,0
19211,36.22,2,36.28,0
19258,36.22,2,36.25,0
19305,36.76,2,36.35,0
19352,36.58,2,36.41,0
19399,36.58,2,36.47,0
19446,37.09,2,36.65,0
19493,37.13,2,36.83,0
19540,37.13,2,36.9,0
19586,37.48,2,37.08,0
19633,37.85,2,37.33,0
19680,37.52,2,37.42,0
19728,37.52,2,37.5,0
19775,37.96,2,37.67,0
19830,38.21,2,37.81,0
19877,38.21,2,37.88,0
19924,38.28,2,38.04,0
19971,38.07,2,38.14,0
20018,38.07,2,38.17,0
20065,37.77,2,38.08,0
20112,37.81,2,38,0
20159,37.81,2,37.9,0
20206,38.17,2,37.92,0
20253,37.88,2,37.89,0
20300,37.88,2,37.91,0
20347,37.77,2,37.9,0
20393,37.56,2,37.85,0
20440,37.56,2,37.73,0
20487,38.43,2,37.84,0
20538,38.14,2,37.89,0
20585,38.43,2,38.02,0
20631,38.43,2,38.2,0
20678,38.21,2,38.33,0
20725,37.38,2,38.12,0
20772,37.38,2,37.97,0
20819,37.45,2,37.77,0
20866,37.6,2,37.6,0
20913,37.6,2,37.48,0
20959,37.85,2,37.58,0
21007,37.71,2,37.64,0
21054,37.71,2,37.69,0
21101,36.98,2,37.57,0
21148,38.47,2,37.74,0
21195,38.47,2,37.87,0
21247,37.05,2,37.74,0
21297,37.67,2,37.73,0
21344,37.67,2,37.87,0
21391,37.71,2,37.72,0
21438,38.03,2,37.63,0
21485,37.27,2,37.67,0
21532,37.45,2,37.63,0
21579,37.96,2,37.68,0
21626,37.88,2,37.72,0
21673,37.88,2,37.69,0
21719,37.66,2,37.77,0
21766,37.62,2,37.8,0
21813,37.62,2,37.73,0
21861,37.87,2,37.73,0
21908,38.06,2,37.77,0
21955,38.06,2,37.85,0
22004,37.47,2,37.82,0
22051,38.13,2,37.92,0
22098,38.13,2,37.97,0
22145,37.18,2,37.79,0
22192,37.47,2,37.67,0
22239,37.47,2,37.67,0
22287,36.23,2,37.3,0
22333,37.18,2,37.11,0
22380,37.18,2,37.11,0
22427,37.25,2,37.06,0
22474,37.14,2,37,0
22521,37.14,2,37.18,0
22568,37.35,2,37.21,0
22615,36.05,2,36.98,0
22668,36.85,2,36.9,0
22718,36.85,2,36.85,0
22765,37.5,2,36.92,0
22811,36.96,2,36.84,0
22858,36.96,2,37.02,0
22905,37.5,2,37.15,0
22952,37.14,2,37.21,0
22998,37.14,2,37.14,0
23045,37.29,2,37.21,0
23092,36.67,2,37.15,0
23140,36.67,2,36.98,0
23186,36.78,2,36.91,0
23233,36.96,2,36.87,0
23280,36.96,2,36.81,0
23326,37.39,2,36.95,0
23373,37.68,2,37.15,0
23420,37.68,2,37.33,0
23469,37.5,2,37.44,0
23516,37.75,2,37.6,0
23563,37.75,2,37.67,0
23611,37.93,2,37.72,0
23657,37.68,2,37.72,0
23704,37.68,2,37.76,0
23751,37.71,2,37.75,0
23798,37.79,2,37.76,0
23844,37.79,2,37.73,0
23891,37.42,2,37.68,0
23938,36.95,2,37.53,0
23985,37.71,2,37.53,0
24031,37.82,2,37.54,0
24083,37.53,2,37.49,0
24132,37.16,2,37.44,0
24181,37.16,2,37.48,0
24228,37.16,2,37.37,0
24275,37.2,2,37.25,0
24322,37.2,2,37.18,0
24369,37.71,2,37.29,0
24415,37.24,2,37.3,0
24463,37.24,2,37.32,0
24510,36.95,2,37.27,0
24557,36.26,2,37.08,0
24604,36.26,2,36.79,0
24651,36.98,2,36.74,0
24698,37.06,2,36.7,0
24744,37.06,2,36.72,0
24791,36.77,2,36.82,0
24838,36.3,2,36.83,0
24889,36.48,2,36.73,0
24936,36.48,2,36.61,0
24983,36.99,2,36.6,0
25029,37.38,2,36.72,0
25076,37.38,2,36.94,0
25123,37.13,2,37.07,0
25170,36.87,2,37.15,0
25217,36.87,2,37.13,0
25264,37.19,2,37.09,0
25311,36.61,2,36.93,0
25359,36.61,2,36.83,0
25405,37.48,2,36.95,0
25452,37.41,2,37.06,0
25503,37.41,2,37.1,0
25552,38.03,2,37.39,0
25601,37.7,2,37.6,0
25648,37.7,2,37.65,0
25695,37.8,2,37.73,0
25743,37.59,2,37.76,0
25790,37.59,2,37.68,0
25837,37.7,2,37.68,0
25883,37.33,2,37.6,0
25930,37.33,2,37.51,0
25977,37.33,2,37.46,0
26024,37.55,2,37.45,0
26071,36.6,2,37.23,0
26118,36.6,2,37.08,0
26164,36.9,2,37,0
26212,36.82,2,36.89,0
26259,36.82,2,36.75,0
26306,37.18,2,36.86,0
26355,36.64,2,36.87,0
26402,36.64,2,36.82,0
26449,36.93,2,36.84,0
26496,36.53,2,36.78,0
26543,36.53,2,36.65,0
26590,37.29,2,36.78,0
26638,36.79,2,36.82,0
26684,36.79,2,36.79,0
26731,35.99,2,36.68,0
26778,37.01,2,36.77,0
26825,37.01,2,36.72,0
26872,36.68,2,36.69,0
26923,36.64,2,36.66,0
26971,37,2,36.87,0
27018,37,2,36.86,0
27068,37.58,2,36.98,0
27115,37.11,2,37.06,0
27162,37.11,2,37.16,0
27209,37.72,2,37.3,0
27256,38.05,2,37.51,0
27303,38.05,2,37.61,0
27350,37.87,2,37.76,0
27397,38.3,2,38,0
27443,38.3,2,38.11,0
27491,38.23,2,38.15,0
27538,38.23,2,38.19,0
27585,38.23,2,38.26,0
27632,38.34,2,38.27,0
27679,37.87,2,38.18,0
27726,37.87,2,38.11,0
27775,38.37,2,38.13,0
27822,37.79,2,38.05,0
27869,37.79,2,37.94,0
27916,37.46,2,37.86,0
27964,37.43,2,37.77,0
28011,37.43,2,37.58,0
28057,37.9,2,37.6,0
28104,37.79,2,37.6,0
28151,37.79,2,37.67,0
28198,37.18,2,37.62,0
28245,37.76,2,37.68,0
28292,37.94,2,37.69,0
28343,37.94,2,37.72,0
28392,37.9,2,37.74,0
28439,37.8,2,37.87,0
28486,37.8,2,37.88,0
28535,38.41,2,37.97,0
28582,38.2,2,38.02,0
28629,38.2,2,38.08,0
28675,38.27,2,38.18,0
28722,37.8,2,38.18,0
28769,37.8,2,38.05,0
28817,38.05,2,38.02,0
28863,37.79,2,37.94,0
28910,37.79,2,37.85,0
28957,38.3,2,37.95,0
29003,39.21,2,38.23,0
29050,39.21,2,38.46,0
29097,39.03,2,38.71,0
29144,38.88,2,38.93,0
29190,38.88,2,39.04,0
29241,38.95,2,38.99,0
29288,39.24,2,39,0
29334,39.03,2,39,0
29381,39.03,2,39.03,0
29428,39.36,2,39.12,0
29474,39.14,2,39.16,0
29521,39.14,2,39.14,0
29568,39.43,2,39.22,0
29615,39.14,2,39.24,0
29661,39.14,2,39.19,0
29708,39.21,2,39.21,0
29756,38.74,2,39.13,0
29808,38.74,2,38.99,0
29855,39.5,2,39.06,0
29902,38.88,2,39.01,0
29951,38.88,2,38.95,0
29998,39.14,2,39.03,0
30045,38.85,2,39.05,0
30092,38.85,2,38.92,0
30139,39.39,2,39.02,0
30186,38.74,2,38.99,0
30233,38.74,2,38.91,0
30280,39.25,2,38.99,0
30327,39.47,2,39.12,0
30374,39.47,2,39.13,0
30421,39.65,2,39.31,0
30468,38.96,2,39.36,0
30514,39.18,2,39.34,0
30561,39.18,2,39.29,0
30609,39.18,2,39.23,0
30656,39.79,2,39.26,0
30706,39.79,2,39.42,0
30752,40.38,2,39.66,0
30799,40.12,2,39.85,0
30846,40.12,2,40.04,0
30893,40.26,2,40.13,0
30940,40.77,2,40.33,0
30987,40.77,2,40.41,0
31035,40.99,2,40.58,0
31081,40.88,2,40.73,0
31128,40.88,2,40.86,0
31175,41.06,2,40.91,0
31228,40.8,2,40.92,0
31275,40.8,2,40.88,0
31321,40.8,2,40.87,0
31368,40.58,2,40.81,0
31419,40.95,2,40.79,0
31466,40.95,2,40.82,0
31512,41.02,2,40.86,0
31559,41.13,2,40.92,0
31606,41.13,2,41.03,0
31653,41.05,2,41.05,0
31700,41.16,2,41.1,0
31747,41.16,2,41.13,0
31794,41.56,2,41.21,0
31840,40.91,2,41.17,0
31888,40.91,2,41.14,0
31935,41.09,2,41.13,0
31982,41.34,2,41.16,0
32029,41.34,2,41.12,0
32076,41.13,2,41.16,0
32125,41.38,2,41.26,0
32172,41.38,2,41.32,0
32219,41.17,2,41.28,0
32266,41.35,2,41.28,0
32314,41.35,2,41.32,0
32361,41.39,2,41.33,0
32408,41.57,2,41.36,0
32454,41.57,2,41.44,0
32501,41.78,2,41.53,0
32548,42.04,2,41.67,0
32595,42.04,2,41.8,0
32647,42.11,2,41.91,0
32694,42.94,2,42.18,0
32742,42.72,2,42.37,0
32789,42.72,2,42.51,0
32836,42.76,2,42.65,0
32885,43.52,2,42.93,0
32932,43.52,2,43.05,0
32979,43.12,2,43.13,0
33026,43.56,2,43.29,0
33073,43.56,2,43.45,0
33120,44.25,2,43.6,0
33168,43.34,2,43.56,0
33215,43.34,2,43.61,0
33262,43.44,2,43.58,0
33309,43.69,2,43.61,0
33355,43.69,2,43.5,0
33402,43.11,2,43.46,0
33449,42.53,2,43.29,0
33496,42.53,2,43.11,0
33543,42.86,2,42.95,0
33593,43.4,2,42.89,0
33640,43.18,2,42.9,0
33687,43.18,2,43.03,0
33734,42.57,2,43.04,0
33781,42.85,2,43.04,0
33828,42.85,2,42.93,0
33875,42.78,2,42.85,0
33922,43,2,42.81,0
33968,43,2,42.9,0
34015,42.53,2,42.83,0
34069,43,2,42.86,0
34116,43,2,42.91,0
34163,42.24,2,42.75,0
34209,42.78,2,42.71,0
34256,42.78,2,42.76,0
34306,43.22,2,42.81,0
34352,42.35,2,42.67,0
34399,42.35,2,42.7,0
34447,43.47,2,42.83,0
34494,43.61,2,43,0
34540,43.61,2,43.08,0
34587,43.65,2,43.34,0
34634,43.86,2,43.64,0
34680,43.86,2,43.72,0
34727,43.93,2,43.78,0
34774,43.54,2,43.77,0
34821,44.81,2,44,0
34867,44.81,2,44.19,0
34915,44.73,2,44.36,0
34962,44,2,44.38,0
35009,44,2,44.47,0
35058,43.86,2,44.28,0
35105,43.53,2,44.03,0
35152,43.53,2,43.79,0
35198,43.17,2,43.62,0
35245,43.31,2,43.48,0
35292,43.31,2,43.37,0
35339,43.09,2,43.28,0
35386,43.49,2,43.27,0
35433,43.49,2,43.34,0
35484,42.87,2,43.25,0
35532,43.28,2,43.25,0
35579,43.28,2,43.28,0
35626,43.27,2,43.24,0
35672,43.57,2,43.25,0
35719,43.57,2,43.39,0
35770,42.91,2,43.32,0
35817,42.73,2,43.21,0
35863,42.77,2,43.11,0
35910,42.77,2,42.95,0
35957,42.91,2,42.82,0
36004,43.02,2,42.84,0
36051,43.02,2,42.9,0
36098,42.77,2,42.9,0
36145,42.91,2,42.93,0
36191,42.91,2,42.93,0
36239,42.66,2,42.86,0
36286,43.53,2,42.96,0
36333,43.53,2,43.11,0
36380,43.06,2,43.14,0
36427,42.84,2,43.12,0
36476,42.84,2,43.16,0
36523,43.64,2,43.18,0
36570,43.2,2,43.11,0
36617,43.2,2,43.14,0
36665,43.13,2,43.2,0
36712,43.35,2,43.3,0
36758,43.35,2,43.25,0
36805,43.09,2,43.22,0
36852,42.62,2,43.11,0
36903,42.91,2,43.06,0
36952,42.91,2,42.98,0
36999,42.84,2,42.87,0
37046,42.91,2,42.84,0
37093,42.91,2,42.9,0
37140,42.4,2,42.79,0
37190,42.66,2,42.74,0
37237,42.66,2,42.71,0
37284,43.53,2,42.83,0
37330,42.76,2,42.8,0
37377,42.76,2,42.87,0
37424,42.73,2,42.89,0
37471,42.84,2,42.92,0
37519,42.84,2,42.79,0
37566,42.58,2,42.75,0
37613,43.09,2,42.82,0
37659,43.09,2,42.89,0
37706,42.15,2,42.75,0
37753,42.55,2,42.69,0
37800,42.55,2,42.69,0
37847,42.48,2,42.56,0
37894,41.79,2,42.3,0
37943,41.79,2,42.23,0
37991,42.62,2,42.25,0
38038,43.5,2,42.44,0
38085,42.77,2,42.49,0
38131,42.77,2,42.69,0
38178,42.05,2,42.74,0
38225,42.95,2,42.81,0
38272,42.95,2,42.7,0
38323,42.41,2,42.63,0
38372,43.64,2,42.8,0
38419,43.64,2,43.12,0
38466,43.38,2,43.21,0
38513,43.35,2,43.28,0
38560,43.35,2,43.47,0
38607,43.53,2,43.45,0
38656,43.75,2,43.47,0
38703,43.75,2,43.54,0
38750,43.82,2,43.64,0
38798,43.31,2,43.63,0
38845,43.31,2,43.59,0
38892,43.67,2,43.57,0
38938,43.86,2,43.59,0
38985,43.86,2,43.6,0
39032,43.27,2,43.59,0
39079,43.13,2,43.56,0
39126,42.59,2,43.34,0
39173,42.59,2,43.09,0
39220,43.1,2,42.94,0
39268,42.7,2,42.82,0
39315,42.7,2,42.73,0
39364,42.99,2,42.81,0
39411,43.39,2,42.97,0
39487,42.77,2,42.91,0
39534,42.77,2,42.92,0
39581,42.88,2,42.96,0
39627,42.95,2,42.95,0
39674,42.95,2,42.87,0
39721,42.63,2,42.84,0
39772,42.41,2,42.77,0
39822,41.76,2,42.54,0
39868,41.76,2,42.3,0
39915,42.85,2,42.28,0
39962,43.22,2,42.4,0
40009,43.22,2,42.56,0
40056,43.21,2,42.85,0
40105,42.73,2,43.05,0
40152,42.73,2,43.02,0
40199,43.06,2,42.99,0
40246,43.21,2,42.99,0
40293,43.21,2,42.99,0
40340,43.28,2,43.1,0
40387,43.82,2,43.31,0
40434,43.82,2,43.47,0
40480,44,2,43.63,0
40527,44.07,2,43.8,0
40574,44.07,2,43.96,0
40620,43.93,2,43.98,0
40667,43.42,2,43.9,0
40714,43.42,2,43.78,0
40762,44.29,2,43.83,0
40808,44.04,2,43.82,0
40858,44.04,2,43.84,0
40905,43.82,2,43.92,0
40951,43.53,2,43.94,0
40998,43.53,2,43.79,0
41045,42.58,2,43.5,0
41092,43.09,2,43.31,0
41138,43.09,2,43.17,0
41185,43.13,2,43.09,0
41238,43.6,2,43.1,0
41285,42.66,2,43.12,0
41332,42.66,2,43.03,0
41379,43.53,2,43.12,0
41425,42.62,2,43.01,0
41472,42.62,2,42.82,0
41519,43.13,2,42.91,0
41568,43.02,2,42.99,0
41616,43.02,2,42.88,0
41663,42.88,2,42.94,0
41710,42.41,2,42.89,0
41757,42.41,2,42.75,0
41803,42.55,2,42.65,0
41850,43.21,2,42.69,0
41897,43.21,2,42.76,0
41944,43.03,2,42.88,0
41991,42.99,2,43,0
42038,42.99,2,43.08,0
42086,42.84,2,43.01,0
42132,43.1,2,42.99,0
42179,43.1,2,43,0
42226,43.64,2,43.13,0
42276,43.57,2,43.25,0
42323,43.49,2,43.38,0
42369,43.49,2,43.46,0
42416,43.75,2,43.59,0
42463,43.86,2,43.63,0
42511,43.86,2,43.69,0
42558,43.72,2,43.73,0
42605,43.31,2,43.7,0
42657,43.31,2,43.61,0
42704,43.75,2,43.59,0
42751,43.24,2,43.47,0
42798,43.24,2,43.37,0
42845,44.04,2,43.52,0
42892,42.91,2,43.44,0
42940,42.91,2,43.27,0
42987,43.53,2,43.33,0
43036,42.59,2,43.2,0
43083,42.59,2,42.91,0
43130,43.78,2,43.08,0
43177,43.35,2,43.17,0
43223,43.02,2,43.07,0
43270,43.09,2,43.17,0
43317,42.91,2,43.23,0
43365,43.1,2,43.1,0
43412,43.1,2,43.04,0
43459,42.95,2,43.03,0
43505,42.84,2,42.98,0
43552,42.84,2,42.97,0
43599,42.3,2,42.81,0
43646,43.14,2,42.81,0
43693,43.14,2,42.85,0
43742,42.88,2,42.86,0
43790,43.5,2,42.99,0
43837,43.5,2,43.23,0
43884,43.39,2,43.28,0
43931,43.64,2,43.38,0
43978,43.64,2,43.53,0
44024,44.59,2,43.75,0
44077,44.7,2,43.99,0
44124,44.7,2,44.25,0
